author,250-499,500-749,750-999,<250,>=1000
Ben Schott,0,0,0,1,0
Benjamin James Sadock,0,0,0,0,1
Bentley Little,1,0,0,0,0
Bernard Cornwell,2,0,0,3,0
Bernard Lewis,0,0,0,1,0
Bernard Malamud,1,1,0,4,0
Bernard Taper,1,0,0,0,0
Bernard Williams,1,0,0,2,0
Bernd Matzkowski,0,0,0,1,0
Bernice Kert,0,1,0,0,0
Beryl Markham,0,0,0,1,0
Bessie Head,0,0,0,1,0
Beth A. Jones,0,0,0,1,0
Beth Hensperger,0,1,0,0,0
Beth Moore,0,0,0,1,0
Bethany Roberts,0,0,0,1,0
Bette Greene,0,0,0,1,0
Better Homes and Gardens,0,0,0,1,0
Betty  Smith,1,0,0,0,0
Betty Friedan,0,1,0,0,0
Betty Jay,0,0,0,1,0
Betty MacDonald,1,0,0,3,0
Betty Mahmoody,0,1,0,0,0
Betty Neels,0,0,0,1,0
Beverly Daniel Tatum,1,0,0,0,0
Bill   Phillips,1,0,0,0,0
Bill  Bryson,0,0,0,1,0
Bill Brittain,0,0,0,1,0
Bill Bryson,15,5,0,3,0
Bill Buford,1,0,0,0,0
Bill Clinton,0,1,1,0,0
Bill Cosby,0,0,0,3,0
Bill Farrel,1,0,0,0,0
Bill Hurter,0,0,0,1,0
Bill Hybels,1,0,0,2,0
Bill Maher,3,0,0,0,0
Bill Nichols,0,0,0,1,0
Bill Phillips,1,0,0,1,0
Bill Pittman,0,0,0,1,0
Bill Potter,0,0,0,1,0
Bill Richardson,0,0,0,1,0
Bill Watterson,0,0,0,6,1
Bill Willingham,0,0,0,9,0
Billie Letts,1,0,0,0,0
Billy Collins,0,0,0,3,0
Billy Crystal,0,0,0,2,0
Billy Mills,0,0,0,1,0
Binjamin W. Segel,0,0,0,1,0
Black Elk,1,0,0,0,0
Blaine M. Yorgason,0,0,0,1,0
Blake Nelson,6,0,0,3,0
Bob      Smith,1,0,0,0,0
Bob Blaisdell,1,0,0,1,0
Bob Cullen,1,0,0,0,0
Bob Dylan,2,0,0,0,0
Bob Madgic,1,0,0,0,0
Bob Marley,0,0,0,1,0
Bob Spitz,0,0,1,0,0
Bob Tarte,1,0,0,0,0
Bob Woodward,2,3,0,0,0
Bobby Henderson,0,0,0,1,0
Bodie Thoene,1,0,0,0,0
Boethius,0,0,0,1,0
Bonnie Burton,0,0,0,1,0
Boris Pasternak,2,0,0,0,0
Boris Vian,0,0,0,1,0
Brad Meltzer,1,0,0,0,0
Brad Thor,1,1,0,0,0
Brady Games,0,0,0,3,0
Bram Stoker,4,1,0,3,0
Brandon Mull,1,0,0,0,0
Brenda Joyce,2,1,0,0,0
Brenda Novak,1,0,0,0,0
Brenda Walpole,0,0,0,1,0
Bret Easton Ellis,3,2,1,1,0
Brian  Doyle,0,0,0,1,0
Brian Azzarello,0,0,0,1,0
Brian Boyd,1,0,1,0,0
Brian Braithwaite,0,0,0,1,0
Brian Copeland,1,0,0,0,0
Brian D. McLaren,0,0,0,2,0
Brian Doherty,0,0,0,1,0
Brian Greene,1,1,0,1,0
Brian Hall,1,0,0,0,0
Brian Herbert,1,5,0,0,0
Brian J. Robb,0,0,0,1,0
Brian Jacques,8,0,0,1,0
Brian James Freeman,1,0,0,0,0
Brian Johnston,0,0,0,1,0
Brian K. Vaughan,0,0,0,1,0
Brian L. Weiss,0,0,0,1,0
Brian Michael Bendis,1,0,0,1,0
Brian Rotman,0,0,0,1,0
